id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,3:03,3:04,3:05,3:08,4:03,4:04,4:05,4:08,5:03,5:04,5:05,5:08,8:03,8:04,8:05,8:08
CPI-SS0F8C2FA91,CCR1_CCL8,simple:P32246,simple:P80075,ENSG00000163823,ENSG00000108700,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0E7EDE823,CCR3_CCL8,simple:P51677,simple:P80075,ENSG00000183625,ENSG00000108700,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0DFAF1FE2,CCR5_CCL8,simple:P51681,simple:P80075,ENSG00000160791,ENSG00000108700,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0ADA38C78,ACKR2_CCL7,simple:O00590,simple:P80098,ENSG00000144648,ENSG00000108688,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS008EB600F,CCR2_CCL7,simple:P41597,simple:P80098,ENSG00000121807,ENSG00000108688,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0AFE077D8,ACKR2_CCL4,simple:O00590,simple:P13236,ENSG00000144648,ENSG00000275302,TRUE,TRUE,FALSE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0E1A8414D,DLK1_NOTCH2,simple:P80370,simple:Q04721,ENSG00000185559,ENSG00000134250,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS037E6BEDF,EFNA1_EPHA8,simple:P20827,simple:P29322,ENSG00000169242,ENSG00000070886,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS09CA492BA,EFNA1_EPHA3,simple:P20827,simple:P29320,ENSG00000169242,ENSG00000044524,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0837E9F59,JAG1_NOTCH4,simple:P78504,simple:Q99466,ENSG00000101384,ENSG00000204301,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0D37C7C70,DLK1_NOTCH4,simple:P80370,simple:Q99466,ENSG00000185559,ENSG00000204301,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS047232C64,DLL1_NOTCH3,simple:O00548,simple:Q9UM47,ENSG00000198719,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0B99F22A2,JAG1_NOTCH3,simple:P78504,simple:Q9UM47,ENSG00000101384,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS007AA9FDE,DLK1_NOTCH3,simple:P80370,simple:Q9UM47,ENSG00000185559,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0938C6980,DLL4_NOTCH3,simple:Q9NR61,simple:Q9UM47,ENSG00000128917,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS035E5A708,DLL3_NOTCH3,simple:Q9NYJ7,simple:Q9UM47,ENSG00000090932,ENSG00000074181,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0EBA5A4D8,VEGFD_KDR,simple:O43915,simple:P35968,ENSG00000165197,ENSG00000128052,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS03156A825,LTA_LTBR,simple:P01374,simple:P36941,ENSG00000226979,ENSG00000111321,TRUE,FALSE,TRUE,I2D,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0859C173B,TNFSF14_LTBR,simple:O43557,simple:P36941,ENSG00000125735,ENSG00000111321,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0830C7910,EFNA2_EPHA8,simple:O43921,simple:P29322,ENSG00000099617,ENSG00000070886,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0110361CB,LTA_TNFRSF14,simple:P01374,simple:Q92956,ENSG00000226979,ENSG00000157873,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS019C98396,TNFSF14_TNFRSF14,simple:O43557,simple:Q92956,ENSG00000125735,ENSG00000157873,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS02ACCF1F7,MIF_TNFRSF14,simple:P14174,simple:Q92956,ENSG00000240972,ENSG00000157873,TRUE,FALSE,TRUE,"I2D,IntAct",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS08330207B,BTLA_TNFRSF14,simple:Q7Z6A9,simple:Q92956,ENSG00000186265,ENSG00000157873,FALSE,TRUE,TRUE,guidetopharmacology.org,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0B89DD8C1,TNFSF13_TNFRSF17,simple:O75888,simple:Q02223,ENSG00000161955,ENSG00000048462,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0A81A3626,WNT7A_LDLR,simple:O00755,simple:P01130,ENSG00000154764,ENSG00000130164,TRUE,FALSE,TRUE,InnateDB-All,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0B34CBA4B,EFNA2_EPHA1,simple:O43921,simple:P21709,ENSG00000099617,ENSG00000146904,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0FF49C823,EFNA1_EPHA1,simple:P20827,simple:P21709,ENSG00000169242,ENSG00000146904,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS08A54963F,EFNA2_EPHA2,simple:O43921,simple:P29317,ENSG00000099617,ENSG00000142627,FALSE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS046F6F0C1,EFNA1_EPHA2,simple:P20827,simple:P29317,ENSG00000169242,ENSG00000142627,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0C875BA24,EFNA2_EPHA3,simple:O43921,simple:P29320,ENSG00000099617,ENSG00000044524,TRUE,FALSE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SS0C28FEC7D,TNFSF13_TNFRSF14,simple:O75888,simple:Q92956,ENSG00000161955,ENSG00000157873,TRUE,FALSE,TRUE,"I2D,InnateDB-All",FALSE,1.625,,,,,,,,,,,,,,,,
CPI-SC047CEF2DD,CRLF2_TSLPR,simple:Q9HC73,complex:TSLPR,ENSG00000205755,,TRUE,TRUE,TRUE,curated,FALSE,1.625,,,,,,,,,,,,,,,,
