"","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","Peak.Score","Focus.Ratio.Region.Size","Detailed.Annotation","Gene.Name"
"5792",0.469812545765062,0.925,0.696,1.15561933992041e-218,4,"Lipa",117.675003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Lipa"
"5793",0.477872695969212,0.998,0.975,2.87224278132969e-213,4,"Mpeg1",NA,NA,NA,NA
"5794",-0.505370023976388,0.817,0.925,1.06064411575831e-212,4,"Hnrnpab",39.674999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hnrnpab"
"5795",0.46843767378523,0.859,0.554,4.9728284892336e-211,4,"Gpr137b",20.9,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Gpr137b"
"5796",-0.660165873281181,0.26,0.681,5.31064026943886e-208,4,"Nes",NA,NA,NA,NA
"5797",0.418386407614028,0.977,0.875,1.2045452264261e-207,4,"Gns",60.449997,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Gns"
"5798",-0.800798722093214,0.826,0.935,1.29715228341938e-207,4,"Stmn1",28.924999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Stmn1"
"5799",-0.728073397643281,0.707,0.88,5.07244753981638e-206,4,"Gm47283",NA,NA,NA,NA
"5800",0.428812323413142,0.566,0.177,4.50666289337342e-205,4,"Nceh1",59.424999,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Nceh1"
"5801",0.41279654212141,0.603,0.232,5.05419336623617e-204,4,"Bnip3",83.974998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Bnip3"
"5802",0.435254182663534,1,0.999,7.96594757900622e-204,4,"Ctsz",25.900002,"Sample7peaks.txt|Sample8peaks.txt","Promoter","Ctsz"
"5803",-0.509928357246527,0.602,0.835,1.16563245155111e-201,4,"Srsf7",60.474998,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Srsf7"
"5804",0.375874615514037,0.466,0.107,1.81092428373426e-201,4,"Anxa2",NA,NA,NA,NA
"5805",-0.569479519957502,0.529,0.801,3.77062669074871e-198,4,"Nop56",66.174995,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Nop56"
"5806",0.580999733582962,0.53,0.167,1.94941670061895e-196,4,"Folr2",NA,NA,NA,NA
"5807",-1.76119688629243,0.129,0.521,3.8925480960576e-190,4,"Mki67",99.650002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Mki67"
"5808",-0.436552442925954,0.997,0.998,7.18871739107983e-190,4,"Hsp90b1",128,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Hsp90b1"
"5809",-0.59502373418879,0.771,0.889,1.51779230974876e-189,4,"Nucks1",62.350002,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Nucks1"
"5810",-0.474254080824447,0.648,0.839,4.7968589174921e-187,4,"Snrpd1",19.65,"Sample7peaks.txt|Sample8peaks.txt","Promoter","Snrpd1"
"5811",-0.320524411500994,0.999,1,1.47885738169715e-186,4,"Ppia",34.175003,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Ppia"
"5812",-0.91974879996177,0.101,0.479,3.46769812622577e-183,4,"Pclaf",10.68,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Pclaf"
"5813",-0.616473238442116,0.458,0.741,3.93510368221577e-182,4,"Nsd2",NA,NA,NA,NA
"5814",0.459717337008092,0.916,0.75,8.7036582346509e-182,4,"Bcl2a1b",23.775,"Sample5peaks.txt|Sample6peaks.txt|Sample7peaks.txt|Sample8peaks.txt","Promoter","Bcl2a1b"
"5815",-0.562167992888289,0.839,0.909,1.0240893728946e-180,4,"Smc1a",NA,NA,NA,NA
