"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mrc1.5",4.86365700844058e-99,0.346839416768681,0.974,0.93,1.13911710794687e-94,"6","Mrc1"
"Prr11.5",1.65204612778687e-98,0.213554383140515,0.393,0.163,3.86925723588962e-94,"6","Prr11"
"Mertk.5",2.70861346673115e-98,-0.301064087293349,0.616,0.811,6.34384360043102e-94,"6","Mertk"
"Topbp1.4",7.53545493944243e-98,-0.329993748527116,0.429,0.612,1.76487890136681e-93,"6","Topbp1"
"Cdc25b.5",2.33998805706212e-96,0.206525409843263,0.29,0.106,5.48048602844518e-92,"6","Cdc25b"
"Pou2f2.3",5.36697947715909e-95,-0.297572343084302,0.845,0.952,1.25700026334543e-90,"6","Pou2f2"
"Mtmr14.4",7.09049533637332e-95,0.19149515748506,0.41,0.216,1.660664912732e-90,"6","Mtmr14"
"Ect2.5",4.81163723522403e-94,0.218150279069528,0.393,0.173,1.12693355686182e-89,"6","Ect2"
"Banf1.4",1.09516051051036e-93,0.245771847897374,0.866,0.734,2.5649754316663e-89,"6","Banf1"
"Atad5.4",3.34656136188137e-93,-0.317489701982158,0.216,0.427,7.83798136566235e-89,"6","Atad5"
"Slbp.4",8.37743803850742e-93,-0.303955808516381,0.413,0.644,1.96207976299882e-88,"6","Slbp"
"E2f1.4",3.72670025540881e-92,-0.235970549108317,0.176,0.407,8.72830466819298e-88,"6","E2f1"
"Knl1.5",1.66705489009832e-91,0.239735438905528,0.571,0.319,3.90440925809928e-87,"6","Knl1"
"Timp2.5",1.8902379464559e-91,-0.330583590388672,0.887,0.937,4.42712629439436e-87,"6","Timp2"
"Hist3h2a.5",4.50596925270544e-91,0.233364233187667,0.544,0.333,1.05534305867614e-86,"6","Hist3h2a"
"Nusap1.5",1.90035295118032e-90,0.320290953552424,0.481,0.241,4.45081664695943e-86,"6","Nusap1"
"Samd1.3",2.44780971781504e-89,-0.209425132029707,0.206,0.439,5.73301514009462e-85,"6","Samd1"
"Ecscr.4",1.26453822822671e-88,-0.337699977199037,0.671,0.797,2.96167498432977e-84,"6","Ecscr"
"Gcat.4",1.36962099812045e-88,0.148220734854,0.276,0.106,3.20778933969792e-84,"6","Gcat"
"Stab1.5",1.75781040231853e-88,-0.36490159464986,0.791,0.904,4.11696774327023e-84,"6","Stab1"
"Hells.5",5.04289285132764e-88,-0.290733332957571,0.145,0.345,1.18109593470945e-83,"6","Hells"
"Kif23.5",5.0516139574229e-88,0.23056323673018,0.481,0.247,1.18313850496802e-83,"6","Kif23"
"Mcm2.3",6.20729378539954e-88,-0.251239390323831,0.218,0.434,1.45381027747843e-83,"6","Mcm2"
"Cotl1.5",1.18861956120703e-86,0.209288778954171,0.999,0.992,2.78386587430299e-82,"6","Cotl1"
"Slc40a1.3",1.47852794540927e-86,-0.275474317473591,0.319,0.542,3.46286030094306e-82,"6","Slc40a1"
"Wdr76.4",1.09478788351982e-84,-0.219525905763065,0.162,0.371,2.56410270199176e-80,"6","Wdr76"
"Tmem97.5",1.38227719850402e-83,0.242139577879243,0.633,0.478,3.23743142661627e-79,"6","Tmem97"
"Dst.4",1.4172076223823e-83,-0.30925761541021,0.771,0.896,3.31924197238159e-79,"6","Dst"
"Tubb2a.5",6.55026144068429e-83,0.235013557087916,0.905,0.818,1.53413673202267e-78,"6","Tubb2a"
"Ang.5",3.60002653318616e-81,0.236374312315257,0.851,0.723,8.43162214337531e-77,"6","Ang"
"Dnmt1.4",3.81944736211845e-81,-0.299642131585678,0.402,0.602,8.94552766681762e-77,"6","Dnmt1"
"Atad2.4",1.21047934311065e-80,-0.466709355659988,0.408,0.573,2.83506366949945e-76,"6","Atad2"
"Prdx4.5",3.61811087111079e-80,0.215909280953207,0.929,0.831,8.47397747122858e-76,"6","Prdx4"
"Nav3.5",1.1368353795794e-79,-0.345927018756944,0.484,0.681,2.66258214251291e-75,"6","Nav3"
"Pola1.4",3.00381109496374e-79,-0.233233104393629,0.144,0.343,7.03522596551457e-75,"6","Pola1"
"Shcbp1.5",1.4072725155505e-78,0.0843290733863999,0.435,0.246,3.29597295867083e-74,"6","Shcbp1"
"Hist3h2ba.4",4.68580814629601e-78,0.189475632725337,0.327,0.151,1.09746312594399e-73,"6","Hist3h2ba"
"Ctsa.5",1.71859579955575e-77,-0.268606967520948,0.977,0.986,4.02512322213953e-73,"6","Ctsa"
"Rps27l.5",3.40154178855149e-77,0.223870905931948,0.96,0.919,7.96675102296645e-73,"6","Rps27l"
"Parpbp.4",2.50739218305585e-76,0.117802901909223,0.234,0.076,5.87256323193511e-72,"6","Parpbp"
"Sapcd2.5",4.99858758562592e-76,0.119273862496251,0.253,0.088,1.17071919842945e-71,"6","Sapcd2"
"Top2a.5",6.79188167349061e-76,0.168191057533884,0.647,0.416,1.59072660674824e-71,"6","Top2a"
"Grn.5",1.61480094165154e-75,-0.213310661195422,0.995,0.997,3.78202528544208e-71,"6","Grn"
"H3f3b.5",4.89255862055488e-75,0.165793182646754,1,1,1.14588615452016e-70,"6","H3f3b"
"Abca1.5",2.44646684079297e-74,-0.449627626405943,0.641,0.758,5.72986998782122e-70,"6","Abca1"
"Colgalt1.4",3.45982729112917e-73,-0.226028052348522,0.742,0.864,8.10326149855362e-69,"6","Colgalt1"
"Bub3.5",4.06810346354861e-73,0.227162504170209,0.805,0.77,9.52790512197719e-69,"6","Bub3"
"Ifi27l2a.5",1.39219406451161e-72,0.348306344226079,0.616,0.414,3.26065771849263e-68,"6","Ifi27l2a"
"Ccdc34.5",7.21465581258839e-72,0.24054780803713,0.741,0.555,1.68974453786633e-67,"6","Ccdc34"
"Kif14.5",8.00797464903373e-72,0.153284155998472,0.32,0.137,1.87554774255019e-67,"6","Kif14"
"Hnrnpa3.5",8.03171759502142e-72,0.185415970629414,0.997,0.983,1.88110857792997e-67,"6","Hnrnpa3"
"Lbr.5",1.75410775421507e-71,0.229154854274365,0.664,0.462,4.10829577114712e-67,"6","Lbr"
"Miip.5",1.92327664197247e-71,0.217840553663262,0.526,0.377,4.50450622316373e-67,"6","Miip"
"Ung.5",3.05144871385584e-71,-0.188722338153908,0.08,0.25,7.14679803272177e-67,"6","Ung"
"Ctsd.5",2.09891583475797e-70,-0.409543978212789,0.999,0.999,4.91587077658665e-66,"6","Ctsd"
"Kpna2.5",5.30714076317761e-70,0.237662918138536,0.352,0.239,1.24298543814383e-65,"6","Kpna2"
"Wdhd1.4",9.89881091501377e-70,-0.199032936419382,0.167,0.348,2.31840050440537e-65,"6","Wdhd1"
