id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,microglia_4|microglia_4,microglia_4|microglia_5,microglia_4|oligos_7,microglia_4|opcs_2,microglia_4|opcs_9,microglia_5|microglia_4,microglia_5|microglia_5,microglia_5|oligos_7,microglia_5|opcs_2,microglia_5|opcs_9,oligos_7|microglia_4,oligos_7|microglia_5,oligos_7|oligos_7,oligos_7|opcs_2,oligos_7|opcs_9,opcs_2|microglia_4,opcs_2|microglia_5,opcs_2|oligos_7,opcs_2|opcs_2,opcs_2|opcs_9,opcs_9|microglia_4,opcs_9|microglia_5,opcs_9|oligos_7,opcs_9|opcs_2,opcs_9|opcs_9
CPI-SS04A97448D,FGF1_FGFR2,simple:P05230,simple:P21802,ENSG00000113578,ENSG00000066468,TRUE,FALSE,TRUE,"I2D,IMEx,InnateDB-All,IntAct,MINT",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS05A94DE17,FGF2_FGFR2,simple:P09038,simple:P21802,ENSG00000138685,ENSG00000066468,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0755A26DD,FGF1_FGFR1,simple:P05230,simple:P11362,ENSG00000113578,ENSG00000077782,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS01F67987A,FGF2_FGFR1,simple:P09038,simple:P11362,ENSG00000138685,ENSG00000077782,TRUE,FALSE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03722104E,HGF_CD44,simple:P14210,simple:P16070,ENSG00000019991,ENSG00000026508,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0703338F5,LGALS9_CD44,simple:O00182,simple:P16070,ENSG00000168961,ENSG00000026508,TRUE,FALSE,TRUE,InnateDB,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS02AB0C3E0,SPP1_CD44,simple:P10451,simple:P16070,ENSG00000118785,ENSG00000026508,TRUE,FALSE,TRUE,"I2D,IMEx,InnateDB-All,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03DA2A820,FGF2_CD44,simple:P09038,simple:P16070,ENSG00000138685,ENSG00000026508,TRUE,FALSE,TRUE,"I2D,InnateDB-All",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS044DF8749,KLRG2_WNT5B,simple:A4D1S0,simple:Q9H1J7,ENSG00000188883,ENSG00000111186,TRUE,TRUE,FALSE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS00A8596B5,PVR_TNFSF9,simple:P15151,simple:P41273,ENSG00000073008,ENSG00000125657,TRUE,TRUE,FALSE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS06B86672A,CD44_FGFR2,simple:P16070,simple:P21802,ENSG00000026508,ENSG00000066468,TRUE,TRUE,TRUE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0EC70F078,SCT_VIPR1,simple:P09683,simple:P32241,ENSG00000070031,ENSG00000114812,TRUE,FALSE,TRUE,"I2D,InnateDB-All",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E2431C09,PDCD1_FAM3C,simple:Q15116,simple:Q92520,ENSG00000188389,ENSG00000196937,TRUE,TRUE,FALSE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08F13AD5C,CD80_CD274,simple:P33681,simple:Q9NZQ7,ENSG00000121594,ENSG00000120217,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0D22A09AD,NRP2_PGF,simple:O60462,simple:P49763,ENSG00000118257,ENSG00000119630,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0855C0353,NRP1_PGF,simple:O14786,simple:P49763,ENSG00000099250,ENSG00000119630,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS074CF011C,ERBB4_NRG4,simple:Q15303,simple:Q8WWG1,ENSG00000178568,ENSG00000169752,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS00A6D366F,ADORA2A_NAMPT,simple:P29274,simple:P43490,ENSG00000128271,ENSG00000105835,TRUE,TRUE,FALSE,"I2D,IMEx,InnateDB-All,MINT",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E9A581F8,ICAM1_ITGAL,simple:P05362,simple:P20701,ENSG00000090339,ENSG00000005844,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS09C4FCB90,ICAM1_SPN,simple:P05362,simple:P16150,ENSG00000090339,ENSG00000197471,FALSE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0E2863F09,TNFRSF17_TNFSF13B,simple:Q02223,simple:Q9Y275,ENSG00000048462,ENSG00000102524,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0F00D756A,CD40_TNFSF13B,simple:P25942,simple:Q9Y275,ENSG00000101017,ENSG00000102524,TRUE,TRUE,FALSE,"I2D,InnateDB",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03133B4F2,TFRC_TNFSF13B,simple:P02786,simple:Q9Y275,ENSG00000072274,ENSG00000102524,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS03C51D352,TNFRSF13B_TNFSF13B,simple:O14836,simple:Q9Y275,ENSG00000240505,ENSG00000102524,TRUE,TRUE,FALSE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS016EE0084,PDCD1_CD274,simple:Q15116,simple:Q9NZQ7,ENSG00000188389,ENSG00000120217,FALSE,TRUE,TRUE,curated,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS0632A027A,CD44_HBEGF,simple:P16070,simple:Q99075,ENSG00000026508,ENSG00000113070,TRUE,TRUE,TRUE,"I2D,InnateDB-All",FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS088A0A760,EGFR_COPA,simple:P00533,simple:P53621,ENSG00000146648,ENSG00000122218,TRUE,TRUE,FALSE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
CPI-SS08CA619FE,EGFR_GRN,simple:P00533,simple:P28799,ENSG00000146648,ENSG00000030582,TRUE,TRUE,FALSE,InnateDB-All,FALSE,1.68,,,,,,,,,,,,,,,,,,,,,,,,,
